Company,laptop_type,screen_size_inch,display_resolution_width,display_resolution_height,panel_type,is_touchscreen,resolution_class,cpu_brand,cpu_family,cpu_generation,clock_speed_ghz,cpu_tier,gpu_brand,ram_gb,ssd_gb,hdd_gb,flash_gb,hybrid_gb,total_storage_gb,weight_kg,weight_class,price_band,Price,is_price_outlier,Performance_Score,value_index,value_segment
ACER,Notebook,15.6,1366,768,Standard,0,HD,AMD,A9-Series,,3.0,2,AMD,4,256,0,0,0,256,2.1,Medium,Budget,24029.28,No,0.4383333333333333,1.824163409529263e-05,High Value
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,Celeron,,1.0,1,Intel,4,0,500,0,0,500,1.86,Medium,Budget,13799.52,No,0.1133333333333333,8.212846050683886e-06,Balanced
HP,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,0,1024,0,0,1024,1.63,Medium,Mid-Range,43263.36,No,0.44,1.0170268790958445e-05,Balanced
ASUS,Notebook,14.0,1366,768,Standard,0,HD,AMD,E-Series,,1.0,1,AMD,4,64,0,0,0,64,1.65,Medium,Budget,14811.3072,No,0.1195833333333333,8.073786582006301e-06,Balanced
DELL,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,AMD,16,256,2048,0,0,2304,2.8,Heavy,Mid-Range,74378.87999999999,No,0.6183333333333334,8.313291801830486e-06,Balanced
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,2.5,Heavy,Mid-Range,49443.84,No,0.4650000000000001,9.404609350730042e-06,Balanced
DELL,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,4,AMD,8,0,1024,0,0,1024,2.36,Heavy,Budget,34045.3872,No,0.54,1.5861179572661756e-05,High Value
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,AMD,4,0,1024,0,0,1024,2.2,Heavy,Budget,23922.72,No,0.4133333333333333,1.727785692150948e-05,High Value
ACER,Ultrabook,14.0,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,256,0,0,0,256,1.6,Medium,Mid-Range,47099.52,No,0.5650000000000001,1.1995875966464205e-05,High Value
ACER,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,7.0,2.0,3,NVIDIA,4,256,0,0,0,256,2.2,Heavy,Budget,30476.16,No,0.4383333333333333,1.4382826882826883e-05,High Value
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,i7,7.0,2.0,5,Intel,8,0,1024,0,0,1024,2.05,Medium,Budget,31861.44,No,0.64,2.0086976608715742e-05,High Value
HP,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,256,0,0,0,256,1.63,Medium,Mid-Range,52640.64,No,0.5650000000000001,1.0733152180520603e-05,Balanced
LENOVO,Notebook,15.6,1366,768,Standard,0,HD,Intel,Celeron,,1.0,1,Intel,4,0,1024,0,0,1024,1.9,Medium,Budget,13445.7408,No,0.1133333333333333,8.42893932131529e-06,Balanced
ASUS,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,128,1024,0,0,1152,3.0,Heavy,Mid-Range,49976.64,No,0.5525,1.1055164973075421e-05,Balanced
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,4,0,1024,0,0,1024,2.2,Heavy,Budget,26586.72,No,0.5133333333333333,1.9307885039347964e-05,High Value
HP,Notebook,13.3,1920,1080,IPS,0,Full HD,Intel,i5,7.0,2.0,4,Intel,4,256,0,0,0,256,1.32,Medium,Budget,37242.72,No,0.5383333333333333,1.4454726543424684e-05,High Value
ACER,Notebook,17.3,1920,1080,IPS,0,Full HD,Intel,i3,7.0,2.0,3,NVIDIA,4,0,1024,0,0,1024,3.0,Heavy,Budget,34898.4,No,0.4133333333333333,1.1843904973675963e-05,High Value
LENOVO,Notebook,14.0,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,AMD,8,256,0,0,0,256,1.75,Medium,Mid-Range,59461.5456,No,0.4650000000000001,7.820180173722226e-06,Low Value
LENOVO,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,256,0,0,0,256,2.4,Heavy,Mid-Range,46300.32,No,0.665,1.4362751704523857e-05,High Value
TOSHIBA,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,6.0,2.0,4,Intel,4,0,500,0,0,500,2.1,Medium,Budget,32074.56,No,0.5133333333333333,1.6004376469492748e-05,High Value
HP,Notebook,15.6,1366,768,Standard,0,HD,AMD,A6-Series,,2.0,1,AMD,4,256,0,0,0,256,1.86,Medium,Budget,19660.32,No,0.2383333333333333,1.212255616049654e-05,High Value
ASUS,Ultrabook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,256,0,0,0,256,1.25,Light,Mid-Range,58554.72,No,0.5650000000000001,9.649094043998504e-06,Balanced
HP,Ultrabook,12.5,3840,2160,IPS,1,UHD,Intel,Core M,,1.0,3,Intel,8,512,0,0,0,512,0.97,Light,Premium,107305.92,No,0.3899999999999999,3.6344686295033854e-06,Low Value
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,Celeron,,1.0,1,Intel,4,0,1024,0,0,1024,2.0,Medium,Budget,18328.32,No,0.1133333333333333,6.183509090485833e-06,Low Value
MSI,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,1024,0,0,1280,2.9,Heavy,Premium,108105.12,No,0.7183333333333334,6.6447669946930676e-06,Low Value
ACER,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,3,Intel,4,0,1024,0,0,1024,2.1,Medium,Budget,23816.16,No,0.4133333333333333,1.7355162769033012e-05,High Value
DELL,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,512,0,0,0,512,2.56,Heavy,Mid-Range,66560.5728,No,0.7433333333333334,1.1167772482470785e-05,Balanced
DELL,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,0,0,0,1024,1024,2.62,Heavy,Mid-Range,47898.72,No,0.64,1.3361526153517254e-05,High Value
LENOVO,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,4,Intel,4,128,0,0,0,128,1.9,Medium,Budget,26533.44,No,0.5258333333333333,1.9817759526594867e-05,High Value
MSI,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,1024,0,0,1280,2.8,Heavy,Premium,100699.2,No,0.7183333333333334,7.133456207530282e-06,Low Value
HP,Ultrabook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,Intel,4,256,0,0,0,256,1.48,Medium,Mid-Range,57648.96,No,0.5383333333333333,9.338127406519274e-06,Balanced
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,AMD,6,256,0,0,0,256,1.91,Medium,Budget,32980.32,No,0.4516666666666667,1.3695035908283083e-05,High Value
LENOVO,2 in 1 Convertible,14.0,1920,1080,IPS,1,Full HD,Intel,i3,7.0,2.0,3,Intel,4,256,0,0,0,256,1.74,Medium,Budget,33513.119999999995,No,0.4383333333333333,1.3079454653381522e-05,High Value
ASUS,2 in 1 Convertible,13.3,1920,1080,Standard,1,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.1,Light,Mid-Range,70063.2,No,0.4650000000000001,6.636865001884015e-06,Low Value
DELL,2 in 1 Convertible,15.6,1920,1080,Standard,1,Full HD,Intel,i7,8.0,1.0,5,Intel,8,256,0,0,0,256,1.56,Medium,Mid-Range,55890.72,No,0.5650000000000001,1.010901273055706e-05,Balanced
TOSHIBA,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,3,Intel,4,0,500,0,0,500,2.1,Medium,Budget,23816.16,No,0.4133333333333333,1.7355162769033012e-05,High Value
ASUS,Notebook,15.6,1366,768,Standard,0,HD,AMD,A9-Series,,3.0,2,AMD,4,0,1024,0,0,1024,2.03,Medium,Budget,21471.84,No,0.4133333333333333,1.9250019250019246e-05,High Value
ACER,Notebook,17.3,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,NVIDIA,4,256,0,0,0,256,3.0,Heavy,Mid-Range,42890.4,No,0.4383333333333333,1.0219847176368914e-05,Balanced
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,AMD,8,256,0,0,0,256,2.13,Medium,Budget,38787.84,No,0.4650000000000001,1.1988293238293242e-05,High Value
LENOVO,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,0,0,0,256,2.5,Heavy,Mid-Range,57489.12,No,0.7183333333333334,1.2495117916804664e-05,High Value
ACER,Notebook,15.6,1366,768,Standard,0,HD,Intel,Celeron,,1.0,1,Intel,4,0,1024,0,0,1024,2.1,Medium,Budget,18541.44,No,0.1133333333333333,6.112434273353812e-06,Low Value
MSI,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,1024,0,0,1280,2.4,Heavy,Premium,95850.72,No,0.7183333333333334,7.494292513747767e-06,Low Value
ACER,Notebook,15.6,1366,768,Standard,0,HD,Intel,Pentium,,1.0,1,Intel,4,0,1024,0,0,1024,2.1,Medium,Budget,19367.8128,No,0.1133333333333333,5.851633042081721e-06,Low Value
DELL,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,128,1024,0,0,1152,2.56,Heavy,Mid-Range,56502.9072,No,0.6525,1.1548078361532519e-05,Balanced
ACER,Notebook,17.3,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,NVIDIA,8,256,0,0,0,256,3.0,Heavy,Mid-Range,45501.12,No,0.4650000000000001,1.0219528662151614e-05,Balanced
HP,Notebook,13.3,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,Intel,4,0,500,0,0,500,1.49,Medium,Mid-Range,40173.12,No,0.4133333333333333,1.0288803392251666e-05,Balanced
HUAWEI,Ultrabook,13.0,2160,1440,IPS,0,Quad HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,1.05,Light,Mid-Range,71874.72,No,0.5650000000000001,7.860900188550301e-06,Balanced
HP,Notebook,17.3,1920,1080,IPS,0,Full HD,Intel,i5,7.0,2.0,4,AMD,6,0,2048,0,0,2048,2.71,Heavy,Budget,37242.72,No,0.5266666666666666,1.4141466215858202e-05,High Value
LENOVO,Notebook,15.6,1366,768,Standard,0,HD,AMD,A6-Series,,2.0,1,AMD,4,0,500,0,0,500,2.2,Heavy,Budget,16463.52,No,0.2133333333333333,1.2957941760530755e-05,High Value
TOSHIBA,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,7.0,2.0,3,Intel,4,0,500,0,0,500,2.0,Medium,Budget,26053.92,No,0.4133333333333333,1.5864535291938155e-05,High Value
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,NVIDIA,8,256,0,0,0,256,2.5,Heavy,Mid-Range,49177.44,No,0.4650000000000001,9.45555523020312e-06,Balanced
DELL,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,7.0,2.0,3,Intel,8,0,1024,0,0,1024,2.3,Heavy,Budget,24455.52,No,0.44,1.7991848057207535e-05,High Value
ACER,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,3,Intel,4,128,0,0,0,128,2.1,Medium,Budget,23922.72,No,0.4258333333333333,1.7800372755829322e-05,High Value
MSI,Gaming,18.4,1920,1080,Standard,0,Full HD,Intel,i7,6.0,2.0,5,NVIDIA,32,512,1024,0,0,1536,4.4,Heavy,Premium,149130.72,Yes,0.8500000000000001,5.699697553931209e-06,Low Value
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,AMD,8,128,1024,0,0,1152,1.9,Medium,Mid-Range,43316.64,No,0.5525,1.2754913585171888e-05,High Value
HP,2 in 1 Convertible,13.3,3840,2160,IPS,1,UHD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.29,Light,Mid-Range,79866.72,No,0.4650000000000001,5.822199784841547e-06,Low Value
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,AMD,16,256,2048,0,0,2304,2.02,Medium,Mid-Range,55890.72,No,0.6183333333333334,1.1063255820167166e-05,Balanced
DELL,Ultrabook,13.3,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.23,Light,Mid-Range,74538.72,No,0.4650000000000001,6.238368461384903e-06,Low Value
LENOVO,2 in 1 Convertible,13.9,3840,2160,IPS,1,UHD,Intel,i7,8.0,1.0,5,Intel,16,512,0,0,0,512,1.4,Medium,Premium,98514.72,No,0.6433333333333334,6.530326973809938e-06,Low Value
TOSHIBA,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,4,Intel,8,128,0,0,0,128,2.0,Medium,Mid-Range,42251.04,No,0.5525,1.3076601191355289e-05,High Value
XIAOMI,Notebook,15.6,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,NVIDIA,8,256,0,0,0,256,1.95,Medium,Mid-Range,63882.72,No,0.4650000000000001,7.278963700982051e-06,Low Value
DELL,Notebook,17.3,1920,1080,Standard,1,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,16,512,0,0,0,512,2.77,Heavy,Premium,82530.72,No,0.6433333333333334,7.795077194689848e-06,Low Value
DELL,Notebook,15.6,3840,2160,Standard,1,UHD,Intel,i7,7.0,2.0,5,NVIDIA,16,512,0,0,0,512,2.06,Medium,Premium,127712.16,No,0.7433333333333334,5.820380246746538e-06,Low Value
LENOVO,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,256,0,0,0,256,2.4,Heavy,Mid-Range,41505.12,No,0.5650000000000001,1.3612778375294421e-05,High Value
ACER,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i5,,1.0,4,Intel,8,256,0,0,0,256,1.12,Light,Mid-Range,52693.92,No,0.4650000000000001,8.824547499977228e-06,Balanced
DELL,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,AMD,8,128,1024,0,0,1152,2.8,Heavy,Mid-Range,57808.8,No,0.5525,9.55736842833617e-06,Balanced
LENOVO,2 in 1 Convertible,14.0,2560,1440,Standard,1,Quad HD+,Intel,i7,7.0,2.0,5,Intel,16,1024,0,0,0,1024,1.42,Medium,Premium,150462.72,Yes,0.7933333333333333,5.272623898686221e-06,Low Value
VERO,Notebook,14.0,1920,1080,IPS,0,Full HD,Intel,Celeron,,1.0,1,Intel,4,0,0,32,0,32,1.3,Medium,Budget,13852.8,No,0.1133333333333333,8.181258181258179e-06,Balanced
XIAOMI,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,256,0,0,0,256,1.3,Medium,Mid-Range,53274.67199999999,No,0.5650000000000001,1.0605414895843941e-05,Balanced
LENOVO,Notebook,17.3,1600,900,Standard,0,HD+,Intel,i5,8.0,1.0,4,NVIDIA,8,256,0,0,0,256,2.8,Heavy,Budget,37189.44,No,0.4650000000000001,1.2503549394666874e-05,High Value
DELL,2 in 1 Convertible,13.3,1920,1080,IPS,1,Full HD,Intel,i7,8.0,1.0,5,Intel,8,0,1024,0,0,1024,1.62,Medium,Mid-Range,44701.92,No,0.54,1.2080018039493606e-05,High Value
HP,Notebook,17.3,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,NVIDIA,8,0,1024,0,0,1024,2.5,Heavy,Mid-Range,48697.92,No,0.44,9.035293499188466e-06,Balanced
RAZER,Gaming,17.3,3840,2160,Standard,1,UHD,Intel,i7,7.0,2.0,5,NVIDIA,32,1024,0,0,0,1024,3.49,Heavy,Premium,324954.72,Yes,0.9,2.7696166407430553e-06,Low Value
HP,Notebook,13.3,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,512,0,0,0,512,1.49,Medium,Mid-Range,51095.52,No,0.49,9.589881852655576e-06,Balanced
HP,Gaming,17.3,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,1024,0,0,1280,3.35,Heavy,Mid-Range,73473.12,No,0.7183333333333334,9.776818152452671e-06,Balanced
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,8,256,0,0,0,256,2.5,Heavy,Mid-Range,55677.6,No,0.5650000000000001,1.014770751612857e-05,Balanced
DELL,Gaming,15.6,3840,2160,IPS,0,UHD,Intel,i7,7.0,2.0,5,NVIDIA,16,512,1024,0,0,1536,2.65,Heavy,Premium,98301.6,No,0.7433333333333334,7.56176230430973e-06,Low Value
LENOVO,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,6.0,2.0,4,Intel,4,128,0,0,0,128,2.1,Medium,Budget,26267.04,No,0.5258333333333333,2.0018751002523817e-05,High Value
ACER,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,0,1024,0,0,1024,2.23,Heavy,Budget,39533.76,No,0.64,1.618869543397845e-05,High Value
LENOVO,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,512,1024,0,0,1536,3.2,Heavy,Premium,93186.72,No,0.7433333333333334,7.976816152916782e-06,Balanced
DELL,Workstation,15.6,3840,2160,Standard,0,UHD,Intel,Xeon,,3.0,5,NVIDIA,16,256,1024,0,0,1280,2.8,Heavy,Premium,162770.4,Yes,0.8183333333333334,5.0275316232763045e-06,Low Value
LENOVO,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,512,0,0,0,512,2.4,Heavy,Mid-Range,74485.44,No,0.7433333333333334,9.979579006760696e-06,Balanced
DELL,Notebook,15.6,1366,768,Standard,1,HD,Intel,i3,7.0,2.0,3,Intel,6,0,1024,0,0,1024,2.3,Heavy,Budget,23389.92,No,0.4266666666666667,1.8241476100246033e-05,High Value
DELL,Ultrabook,13.3,3840,2160,IPS,1,UHD,Intel,i7,8.0,1.0,5,Intel,8,256,0,0,0,256,1.21,Light,Premium,103842.72,No,0.5650000000000001,5.440920653850362e-06,Low Value
DELL,Ultrabook,13.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,256,0,0,0,256,1.2,Light,Mid-Range,77202.72,No,0.5650000000000001,7.318394999554421e-06,Low Value
LENOVO,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,2.2,Heavy,Budget,31808.16,No,0.5650000000000001,1.7762737611983845e-05,High Value
ACER,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,0,1024,0,0,1024,2.4,Heavy,Mid-Range,41505.12,No,0.64,1.5419784354315803e-05,High Value
ASUS,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,1024,0,0,1280,2.9,Heavy,Mid-Range,74964.95999999999,No,0.7183333333333334,9.58225460713023e-06,Balanced
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,Intel,4,0,500,0,0,500,2.1,Medium,Budget,18594.72,No,0.4133333333333333,2.222853225718555e-05,High Value
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,2.2,Heavy,Budget,29250.72,No,0.5650000000000001,1.9315763851282977e-05,High Value
HUAWEI,Ultrabook,13.0,2160,1440,IPS,0,Quad HD,Intel,i7,7.0,2.0,5,Intel,8,512,0,0,0,512,1.05,Light,Mid-Range,79866.72,No,0.6900000000000001,8.639393229119713e-06,Balanced
DELL,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,5,AMD,8,256,0,0,0,256,1.4,Medium,Mid-Range,49650.5664,No,0.5650000000000001,1.1379527787219765e-05,Balanced
LENOVO,Notebook,17.3,1600,900,Standard,0,HD+,Intel,i5,7.0,2.0,4,NVIDIA,8,0,1024,0,0,1024,2.8,Heavy,Budget,31381.92,No,0.54,1.7207360161519755e-05,High Value
HP,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,8,256,0,0,0,256,1.63,Medium,Mid-Range,54931.68,No,0.5650000000000001,1.0285503738462033e-05,Balanced
DELL,Ultrabook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.6,Medium,Mid-Range,61218.72,No,0.4650000000000001,7.595715820258903e-06,Low Value
DELL,2 in 1 Convertible,13.3,1920,1080,Standard,1,Full HD,Intel,i7,8.0,1.0,5,Intel,16,512,0,0,0,512,1.62,Medium,Mid-Range,68145.12,No,0.6433333333333334,9.440636883951975e-06,Balanced
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,AMD,8,256,0,0,0,256,2.2,Heavy,Budget,36089.208,No,0.4650000000000001,1.2884738285195954e-05,High Value
LENOVO,2 in 1 Convertible,14.0,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.74,Medium,Mid-Range,47898.72,No,0.4650000000000001,9.707983845914882e-06,Balanced
TOSHIBA,Ultrabook,13.3,1920,1080,Standard,0,Full HD,Intel,i7,6.0,2.0,5,Intel,8,256,0,0,0,256,1.2,Light,Mid-Range,72620.64,No,0.665,9.157176251820419e-06,Balanced
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,0,1024,0,0,1024,2.1,Medium,Mid-Range,42304.32,No,0.44,1.040082904062753e-05,Balanced
DELL,Gaming,17.3,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,1024,0,0,1280,4.42,Heavy,Premium,130873.7952,No,0.7183333333333334,5.488748394860742e-06,Low Value
ACER,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,256,0,0,0,256,2.2,Heavy,Mid-Range,44328.96,No,0.665,1.5001479845229846e-05,High Value
DELL,Notebook,15.6,1920,1080,Standard,1,Full HD,Intel,i7,7.0,2.0,5,AMD,16,0,1024,0,0,1024,2.3,Heavy,Mid-Range,45768.0528,No,0.6933333333333334,1.5148849271851334e-05,High Value
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,256,0,0,0,256,2.0,Medium,Mid-Range,40972.32,No,0.5650000000000001,1.3789797599940644e-05,High Value
ASUS,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,256,500,0,0,756,2.69,Heavy,Mid-Range,47472.48,No,0.5650000000000001,1.1901632272002643e-05,High Value
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,AMD,8,0,1024,0,0,1024,1.9,Medium,Mid-Range,67612.31999999999,No,0.64,9.465730505919632e-06,Balanced
ASUS,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,7.0,2.0,3,Intel,4,0,1024,0,0,1024,2.37,Heavy,Budget,21258.1872,No,0.4133333333333333,1.9443489204636097e-05,High Value
HP,Notebook,15.6,1366,768,Standard,0,HD,AMD,E-Series,,1.0,1,AMD,4,0,500,0,0,500,2.1,Medium,Budget,17582.399999999998,No,0.1133333333333333,6.445839779173111e-06,Low Value
LENOVO,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,1024,0,0,1280,3.2,Heavy,Mid-Range,79866.72,No,0.7183333333333334,8.99415092210289e-06,Balanced
DELL,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,1.6,Medium,Mid-Range,45767.52,No,0.5650000000000001,1.234499924837527e-05,High Value
ACER,2 in 1 Convertible,13.3,1920,1080,IPS,1,Full HD,Intel,i5,6.0,2.0,4,Intel,8,256,0,0,0,256,1.6,Medium,Budget,36709.92,No,0.5650000000000001,1.5390935202255958e-05,High Value
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,AMD,16,256,0,0,0,256,2.36,Heavy,Mid-Range,47898.72,No,0.7183333333333334,1.4996921281682127e-05,High Value
ACER,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,3,Intel,4,0,1024,0,0,1024,2.1,Medium,Budget,20779.2,No,0.4133333333333333,1.9891686558353222e-05,High Value
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,AMD,A10-Series,,2.0,4,AMD,4,128,1024,0,0,1152,2.2,Heavy,Budget,30636.0,No,0.5258333333333333,1.716390303346825e-05,High Value
ASUS,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,32,512,1024,0,0,1536,4.7,Heavy,Premium,207259.2,Yes,0.8500000000000001,4.101144846646132e-06,Low Value
ACER,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,256,0,0,0,256,2.5,Heavy,Mid-Range,45074.88,No,0.5650000000000001,1.2534697818385763e-05,High Value
LENOVO,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,3,Intel,8,128,0,0,0,128,2.2,Heavy,Budget,31381.92,No,0.4525,1.4419130505717944e-05,High Value
ASUS,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,8,128,1024,0,0,1152,2.1,Medium,Mid-Range,61005.6,No,0.5525,9.056545628598031e-06,Balanced
ASUS,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,128,1024,0,0,1152,2.69,Heavy,Mid-Range,47365.92,No,0.6525,1.3775727358404524e-05,High Value
DELL,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,256,0,0,0,256,2.56,Heavy,Mid-Range,46833.12,No,0.5650000000000001,1.206411189346343e-05,High Value
LENOVO,2 in 1 Convertible,13.9,1920,1080,IPS,1,Full HD,Intel,i7,7.0,2.0,5,Intel,8,256,0,0,0,256,1.38,Medium,Mid-Range,57489.12,No,0.665,1.15674061457194e-05,Balanced
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,AMD,8,128,2048,0,0,2176,2.2,Heavy,Mid-Range,52480.8,No,0.5525,1.0527659639334765e-05,Balanced
HP,Notebook,15.6,1366,768,Standard,1,HD,Intel,i5,7.0,2.0,4,Intel,8,0,1024,0,0,1024,2.04,Medium,Budget,29783.52,No,0.54,1.8130832084320456e-05,High Value
ASUS,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,0,0,0,256,3.6,Heavy,Premium,159786.72,Yes,0.7183333333333334,4.495575936056096e-06,Low Value
