Company,laptop_type,screen_size_inch,display_resolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,display_resolution_width,display_resolution_height,panel_type,is_touchscreen,resolution_class,cpu_brand,cpu_family,cpu_model,cpu_generation,clock_speed_ghz,cpu_tier,gpu_brand,price_band,ram_gb,ssd_gb,hdd_gb,flash_gb,hybrid_gb,total_storage_gb,weight_kg,weight_class,suspect_flag,data_quality_score,data_quality_category,is_price_outlier
LENOVO,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8GB,"256GB SSD","Nvidia GeForce GTX 1050","Not Specified",2.4kg,41505.119999999995,1920,1080,NULL,No,"Full HD",Intel,i5,7300HQ,7,2.00,Upper-Mid,NVIDIA,Mid-Range,8,256,0,0,0,256,2.40,Heavy,No,14,Excellent,No
ACER,Ultrabook,13.3,"IPS Panel Full HD 1920x1080","Intel Core i5 7Y54 1.2GHz",8GB,"256GB SSD","Intel HD Graphics 615",Windows,1.12kg,52693.92,1920,1080,NULL,No,"Full HD",Intel,i5,NULL,NULL,1.00,Upper-Mid,Intel,Mid-Range,8,256,0,0,0,256,1.12,Light,No,12,Good,No
DELL,Notebook,17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"128GB SSD +  1TB HDD","AMD Radeon 530",Windows,2.8kg,57808.799999999996,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,AMD,Mid-Range,8,128,1024,0,0,1152,2.80,Heavy,No,14,Excellent,No
LENOVO,"2 in 1 Convertible",14,"Touchscreen 2560x1440","Intel Core i7 7500U 2.7GHz",16GB,"1TB SSD","Intel HD Graphics 620",Windows,1.42kg,150462.72,2560,1440,NULL,Yes,"Quad HD+",Intel,i7,7500U,7,2.00,High,Intel,Premium,16,1024,0,0,0,1024,1.42,Medium,No,14,Excellent,Yes
VERO,Notebook,14,"IPS Panel Full HD 1920x1080","Intel Celeron Dual Core N3350 1.1GHz",4GB,"32GB Flash Storage","Intel HD Graphics 500",Windows,1.3kg,13852.8,1920,1080,NULL,No,"Full HD",Intel,Celeron,3350,NULL,1.00,Entry,Intel,Budget,4,0,0,32,0,32,1.30,Medium,No,14,Excellent,No
XIAOMI,Ultrabook,13.3,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8GB,"256GB SSD","Nvidia GeForce MX150","Not Specified",1.3kg,53274.67199999999,1920,1080,NULL,No,"Full HD",Intel,i5,7200U,7,2.00,Upper-Mid,NVIDIA,Mid-Range,8,256,0,0,0,256,1.30,Medium,No,14,Excellent,No
LENOVO,Notebook,17.3,1600x900,"Intel Core i5 8250U 1.6GHz",8GB,"256GB SSD","Nvidia GeForce MX150","Not Specified",2.8kg,37189.439999999995,1600,900,NULL,No,HD+,Intel,i5,8250U,8,1.00,Upper-Mid,NVIDIA,Budget,8,256,0,0,0,256,2.80,Heavy,No,14,Excellent,No
DELL,"2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"1TB HDD","Intel UHD Graphics 620",Windows,1.62kg,44701.92,1920,1080,NULL,Yes,"Full HD",Intel,i7,8550U,8,1.00,High,Intel,Mid-Range,8,0,1024,0,0,1024,1.62,Medium,No,14,Excellent,No
HP,Notebook,17.3,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"1TB HDD","Nvidia GeForce 930MX",Windows,2.5kg,48697.92,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,NVIDIA,Mid-Range,8,0,1024,0,0,1024,2.50,Heavy,No,14,Excellent,No
RAZER,Gaming,17.3,"4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7820HK 2.9GHz",32GB,"1TB SSD","Nvidia GeForce GTX 1080",Windows,3.49kg,324954.72,3840,2160,NULL,Yes,UHD,Intel,i7,7820HK,7,2.00,High,NVIDIA,Premium,32,1024,0,0,0,1024,3.49,Heavy,No,14,Excellent,Yes
HP,Notebook,13.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"512GB SSD","Intel UHD Graphics 620",Windows,1.49kg,51095.52,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,Intel,Mid-Range,8,512,0,0,0,512,1.49,Medium,No,14,Excellent,No
HP,Gaming,17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16GB,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050",Windows,3.35kg,73473.12,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Mid-Range,16,256,1024,0,0,1280,3.35,Heavy,No,14,Excellent,No
HP,Notebook,17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"256GB SSD","Nvidia GeForce 930MX",Windows,2.5kg,55677.6,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,NVIDIA,Mid-Range,8,256,0,0,0,256,2.50,Heavy,No,14,Excellent,No
DELL,Gaming,15.6,"IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7700HQ 2.8GHz",16GB,"512GB SSD +  1TB HDD","Nvidia GeForce GTX 1060",Windows,2.65kg,98301.59999999999,3840,2160,NULL,No,UHD,Intel,i7,7700HQ,7,2.00,High,NVIDIA,Premium,16,512,1024,0,0,1536,2.65,Heavy,No,14,Excellent,No
LENOVO,Notebook,15.6,1366x768,"Intel Core i5 6200U 2.3GHz",4GB,"128GB SSD","Intel HD Graphics 520",Windows,2.1kg,26267.039999999997,1366,768,NULL,No,HD,Intel,i5,6200U,6,2.00,Upper-Mid,Intel,Budget,4,128,0,0,0,128,2.10,Medium,No,14,Excellent,No
ACER,Notebook,15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8GB,"1TB HDD","Nvidia GeForce 940MX",Windows,2.23kg,39533.76,1920,1080,NULL,No,"Full HD",Intel,i7,7500U,7,2.00,High,NVIDIA,Budget,8,0,1024,0,0,1024,2.23,Heavy,No,14,Excellent,No
LENOVO,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16GB,"512GB SSD +  1TB HDD","Nvidia GeForce GTX 1060",Windows,3.2kg,93186.72,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Premium,16,512,1024,0,0,1536,3.20,Heavy,No,14,Excellent,No
DELL,Workstation,15.6,"4K Ultra HD 3840x2160","Intel Xeon E3-1505M V6 3GHz",16GB,"256GB SSD +  1TB HDD","Nvidia Quadro M1200",Windows,2.8kg,162770.4,3840,2160,NULL,No,UHD,Intel,Xeon,E3-1505M,NULL,3.00,High,NVIDIA,Premium,16,256,1024,0,0,1280,2.80,Heavy,No,14,Excellent,Yes
LENOVO,Gaming,15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16GB,"512GB SSD","Nvidia GeForce GTX 1060","Not Specified",2.4kg,74485.44,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Mid-Range,16,512,0,0,0,512,2.40,Heavy,No,14,Excellent,No
DELL,Notebook,15.6,"Touchscreen 1366x768","Intel Core i3 7100U 2.4GHz",6GB,"1TB HDD","Intel HD Graphics 620",Windows,2.3kg,23389.92,1366,768,NULL,Yes,HD,Intel,i3,7100U,7,2.00,Mid,Intel,Budget,6,0,1024,0,0,1024,2.30,Heavy,No,14,Excellent,No
DELL,Ultrabook,13.3,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 8550U 1.8GHz",8GB,"256GB SSD","Intel UHD Graphics 620",Windows,1.21kg,103842.72,3840,2160,NULL,Yes,UHD,Intel,i7,8550U,8,1.00,High,Intel,Premium,8,256,0,0,0,256,1.21,Light,No,14,Excellent,No
DELL,Ultrabook,13.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"256GB SSD","Intel UHD Graphics 620",Windows,1.2kg,77202.72,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,Intel,Mid-Range,8,256,0,0,0,256,1.20,Light,No,14,Excellent,No
LENOVO,Notebook,15.6,1366x768,"Intel Core i5 7200U 2.5GHz",8GB,"256GB SSD","Intel HD Graphics 620",Windows,2.2kg,31808.16,1366,768,NULL,No,HD,Intel,i5,7200U,7,2.00,Upper-Mid,Intel,Budget,8,256,0,0,0,256,2.20,Heavy,No,14,Excellent,No
ACER,Notebook,15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8GB,"1TB HDD","Nvidia GeForce GTX 1050",Linux,2.4kg,41505.119999999995,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Mid-Range,8,0,1024,0,0,1024,2.40,Heavy,No,14,Excellent,No
ASUS,Gaming,17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16GB,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050",Windows,2.9kg,74964.95999999999,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Mid-Range,16,256,1024,0,0,1280,2.90,Heavy,No,14,Excellent,No
HP,Notebook,15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4GB,"500GB HDD","Intel HD Graphics 520","Not Specified",2.1kg,18594.719999999998,1920,1080,NULL,No,"Full HD",Intel,i3,6006U,6,2.00,Mid,Intel,Budget,4,0,500,0,0,500,2.10,Medium,No,14,Excellent,No
LENOVO,Notebook,15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8GB,"256GB SSD","Intel HD Graphics 620","Not Specified",2.2kg,29250.719999999998,1920,1080,NULL,No,"Full HD",Intel,i5,7200U,7,2.00,Upper-Mid,Intel,Budget,8,256,0,0,0,256,2.20,Heavy,No,14,Excellent,No
HUAWEI,Ultrabook,13,"IPS Panel Full HD 2160x1440","Intel Core i7 7500U 2.7GHz",8GB,"512GB SSD","Intel HD Graphics 620",Windows,1.05kg,79866.72,2160,1440,NULL,No,"Quad HD",Intel,i7,7500U,7,2.00,High,Intel,Mid-Range,8,512,0,0,0,512,1.05,Light,No,14,Excellent,No
DELL,Ultrabook,13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"256GB SSD","AMD Radeon 530",Windows,1.4kg,49650.566399999996,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,AMD,Mid-Range,8,256,0,0,0,256,1.40,Medium,No,14,Excellent,No
LENOVO,Notebook,17.3,1600x900,"Intel Core i5 7200U 2.5GHz",8GB,"1TB HDD","Nvidia GeForce GTX 940MX","Not Specified",2.8kg,31381.92,1600,900,NULL,No,HD+,Intel,i5,7200U,7,2.00,Upper-Mid,NVIDIA,Budget,8,0,1024,0,0,1024,2.80,Heavy,No,14,Excellent,No
HP,Notebook,14,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"256GB SSD","Nvidia GeForce 930MX",Windows,1.63kg,54931.68,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,NVIDIA,Mid-Range,8,256,0,0,0,256,1.63,Medium,No,14,Excellent,No
DELL,Ultrabook,14,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"256GB SSD","Intel UHD Graphics 620",Windows,1.6kg,61218.72,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,Intel,Mid-Range,8,256,0,0,0,256,1.60,Medium,No,14,Excellent,No
DELL,"2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i7 8550U 1.8GHz",16GB,"512GB SSD","Intel UHD Graphics 620",Windows,1.62kg,68145.12,1920,1080,NULL,Yes,"Full HD",Intel,i7,8550U,8,1.00,High,Intel,Mid-Range,16,512,0,0,0,512,1.62,Medium,No,14,Excellent,No
DELL,Notebook,15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"256GB SSD","AMD Radeon 520",Linux,2.2kg,36089.208,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,AMD,Budget,8,256,0,0,0,256,2.20,Heavy,No,14,Excellent,No
LENOVO,"2 in 1 Convertible",14,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"256GB SSD","Intel UHD Graphics 620",Windows,1.74kg,47898.72,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,Intel,Mid-Range,8,256,0,0,0,256,1.74,Medium,No,14,Excellent,No
TOSHIBA,Ultrabook,13.3,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz",8GB,"256GB SSD","Intel HD Graphics 520",Windows,1.2kg,72620.64,1920,1080,NULL,No,"Full HD",Intel,i7,6500U,6,2.00,High,Intel,Mid-Range,8,256,0,0,0,256,1.20,Light,No,14,Excellent,No
HP,Notebook,15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"1TB HDD","Intel UHD Graphics 620",Windows,2.1kg,42304.32,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,Intel,Mid-Range,8,0,1024,0,0,1024,2.10,Medium,No,14,Excellent,No
DELL,Gaming,17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16GB,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060",Windows,4.42kg,130873.7952,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Premium,16,256,1024,0,0,1280,4.42,Heavy,No,14,Excellent,No
ACER,Notebook,15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8GB,"256GB SSD","Nvidia GeForce 940MX",Windows,2.2kg,44328.96,1920,1080,NULL,No,"Full HD",Intel,i7,7500U,7,2.00,High,NVIDIA,Mid-Range,8,256,0,0,0,256,2.20,Heavy,No,14,Excellent,No
DELL,Notebook,15.6,"Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz",16GB,"1TB HDD","AMD Radeon R7 M445",Windows,2.3kg,45768.0528,1920,1080,NULL,Yes,"Full HD",Intel,i7,7500U,7,2.00,High,AMD,Mid-Range,16,0,1024,0,0,1024,2.30,Heavy,No,14,Excellent,No
ASUS,Notebook,15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8GB,"256GB SSD","Nvidia GeForce 920MX",Windows,2kg,40972.32,1920,1080,NULL,No,"Full HD",Intel,i5,7200U,7,2.00,Upper-Mid,NVIDIA,Mid-Range,8,256,0,0,0,256,2.00,Medium,No,14,Excellent,No
ASUS,Notebook,17.3,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8GB,"256GB SSD +  500GB HDD","Nvidia GeForce GTX 950M",Windows,2.69kg,47472.479999999996,1920,1080,NULL,No,"Full HD",Intel,i5,7200U,7,2.00,Upper-Mid,NVIDIA,Mid-Range,8,256,500,0,0,756,2.69,Heavy,No,14,Excellent,No
HP,Notebook,15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8GB,"1TB HDD","AMD FirePro W4190M",Windows,1.9kg,67612.31999999999,1920,1080,NULL,No,"Full HD",Intel,i7,7500U,7,2.00,High,AMD,Mid-Range,8,0,1024,0,0,1024,1.90,Medium,No,14,Excellent,No
ASUS,Notebook,15.6,1366x768,"Intel Core i3 7100U 2.4GHz",4GB,"1TB HDD","Intel HD Graphics 620",Windows,2.37kg,21258.1872,1366,768,NULL,No,HD,Intel,i3,7100U,7,2.00,Mid,Intel,Budget,4,0,1024,0,0,1024,2.37,Heavy,No,14,Excellent,No
HP,Notebook,15.6,1366x768,"AMD E-Series 9000e 1.5GHz",4GB,"500GB HDD","AMD Radeon R2",Windows,2.1kg,17582.399999999998,1366,768,NULL,No,HD,AMD,E-Series,9000e,NULL,1.00,Entry,AMD,Budget,4,0,500,0,0,500,2.10,Medium,No,14,Excellent,No
LENOVO,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16GB,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060",Windows,3.2kg,79866.72,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Mid-Range,16,256,1024,0,0,1280,3.20,Heavy,No,14,Excellent,No
DELL,Notebook,14,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8GB,"256GB SSD","Intel HD Graphics 620",Windows,1.6kg,45767.52,1920,1080,NULL,No,"Full HD",Intel,i5,7200U,7,2.00,Upper-Mid,Intel,Mid-Range,8,256,0,0,0,256,1.60,Medium,No,14,Excellent,No
ACER,"2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 6200U 2.3GHz",8GB,"256GB SSD","Intel HD Graphics 520",Windows,1.6kg,36709.92,1920,1080,NULL,Yes,"Full HD",Intel,i5,6200U,6,2.00,Upper-Mid,Intel,Budget,8,256,0,0,0,256,1.60,Medium,No,14,Excellent,No
DELL,Notebook,15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",16GB,"256GB SSD","AMD Radeon R7 M445",Linux,2.36kg,47898.72,1920,1080,NULL,No,"Full HD",Intel,i7,7500U,7,2.00,High,AMD,Mid-Range,16,256,0,0,0,256,2.36,Heavy,No,14,Excellent,No
ACER,Notebook,15.6,1366x768,"Intel Core i3 6006U 2GHz",4GB,"1TB HDD","Intel HD Graphics 520",Linux,2.1kg,20779.2,1366,768,NULL,No,HD,Intel,i3,6006U,6,2.00,Mid,Intel,Budget,4,0,1024,0,0,1024,2.10,Medium,No,14,Excellent,No
ASUS,Notebook,15.6,"Full HD 1920x1080","AMD A10-Series A10-9620P 2.5GHz",4GB,"128GB SSD +  1TB HDD","AMD Radeon R5 M430",Windows,2.2kg,30636,1920,1080,NULL,No,"Full HD",AMD,A10-Series,9620P,NULL,2.00,Upper-Mid,AMD,Budget,4,128,1024,0,0,1152,2.20,Heavy,No,14,Excellent,No
ASUS,Gaming,17.3,"Full HD 1920x1080","Intel Core i7 7820HK 2.9GHz",32GB,"512GB SSD +  1TB HDD","Nvidia GeForce GTX 1080",Windows,4.7kg,207259.19999999998,1920,1080,NULL,No,"Full HD",Intel,i7,7820HK,7,2.00,High,NVIDIA,Premium,32,512,1024,0,0,1536,4.70,Heavy,No,14,Excellent,Yes
ACER,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8GB,"256GB SSD","Nvidia GeForce GTX 1050",Windows,2.5kg,45074.88,1920,1080,NULL,No,"Full HD",Intel,i5,7300HQ,7,2.00,Upper-Mid,NVIDIA,Mid-Range,8,256,0,0,0,256,2.50,Heavy,No,14,Excellent,No
LENOVO,Notebook,15.6,1366x768,"Intel Core i3 6006U 2GHz",8GB,"128GB SSD","Intel HD Graphics 520",Windows,2.2kg,31381.92,1366,768,NULL,No,HD,Intel,i3,6006U,6,2.00,Mid,Intel,Budget,8,128,0,0,0,128,2.20,Heavy,No,14,Excellent,No
ASUS,Notebook,17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"128GB SSD +  1TB HDD","Nvidia GeForce 150MX",Windows,2.1kg,61005.6,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,NVIDIA,Mid-Range,8,128,1024,0,0,1152,2.10,Medium,No,14,Excellent,No
ASUS,Notebook,17.3,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8GB,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 950M","Not Specified",2.69kg,47365.92,1920,1080,NULL,No,"Full HD",Intel,i7,7500U,7,2.00,High,NVIDIA,Mid-Range,8,128,1024,0,0,1152,2.69,Heavy,No,14,Excellent,No
DELL,Gaming,15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8GB,"256GB SSD","Nvidia GeForce GTX 1050",Windows,2.56kg,46833.119999999995,1920,1080,NULL,No,"Full HD",Intel,i5,7300HQ,7,2.00,Upper-Mid,NVIDIA,Mid-Range,8,256,0,0,0,256,2.56,Heavy,No,14,Excellent,No
LENOVO,"2 in 1 Convertible",13.9,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz",8GB,"256GB SSD","Intel HD Graphics 620",Windows,1.38kg,57489.119999999995,1920,1080,NULL,Yes,"Full HD",Intel,i7,7500U,7,2.00,High,Intel,Mid-Range,8,256,0,0,0,256,1.38,Medium,No,14,Excellent,No
DELL,Notebook,15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"128GB SSD +  2TB HDD","AMD Radeon 530",Windows,2.2kg,52480.799999999996,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,AMD,Mid-Range,8,128,2048,0,0,2176,2.20,Heavy,No,14,Excellent,No
HP,Notebook,15.6,"Touchscreen 1366x768","Intel Core i5 7200U 2.5GHz",8GB,"1TB HDD","Intel HD Graphics 620",Windows,2.04kg,29783.52,1366,768,NULL,Yes,HD,Intel,i5,7200U,7,2.00,Upper-Mid,Intel,Budget,8,0,1024,0,0,1024,2.04,Medium,No,14,Excellent,No
ASUS,Gaming,17.3,"Full HD 1920x1080","Intel Core i7 7820HK 2.9GHz",16GB,"256GB SSD","Nvidia GeForce GTX 1080",Windows,3.6kg,159786.72,1920,1080,NULL,No,"Full HD",Intel,i7,7820HK,7,2.00,High,NVIDIA,Premium,16,256,0,0,0,256,3.60,Heavy,No,14,Excellent,Yes
HP,Notebook,13.3,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",4GB,"500GB HDD","Intel UHD Graphics 620",Windows,1.49kg,35964,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,Intel,Budget,4,0,500,0,0,500,1.49,Medium,No,14,Excellent,No
APPLE,Ultrabook,13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 3.1GHz",8GB,"512GB SSD","Intel Iris Plus Graphics 650",macOS,1.37kg,108691.2,2560,1600,NULL,No,"Quad HD+",Intel,i5,NULL,NULL,3.00,Upper-Mid,Intel,Premium,8,512,0,0,0,512,1.37,Medium,No,12,Good,No
DELL,"2 in 1 Convertible",15.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"1TB HDD","Intel UHD Graphics 620",Windows,2.08kg,43636.32,1920,1080,NULL,Yes,"Full HD",Intel,i7,8550U,8,1.00,High,Intel,Mid-Range,8,0,1024,0,0,1024,2.08,Medium,No,14,Excellent,No
ASUS,Gaming,17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16GB,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 980M",Windows,4.3kg,95850.72,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Premium,16,256,1024,0,0,1280,4.30,Heavy,No,14,Excellent,No
ASUS,Notebook,15.6,1366x768,"AMD A9-Series 9420 3GHz",4GB,"1TB HDD","AMD Radeon R5 M420",Windows,1.68kg,24988.32,1366,768,NULL,No,HD,AMD,A9-Series,9420,NULL,3.00,Lower-Mid,AMD,Budget,4,0,1024,0,0,1024,1.68,Medium,No,14,Excellent,No
LENOVO,"2 in 1 Convertible",13.9,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"512GB SSD","Intel UHD Graphics 620",Windows,1.37kg,98514.72,1920,1080,NULL,Yes,"Full HD",Intel,i7,8550U,8,1.00,High,Intel,Premium,8,512,0,0,0,512,1.37,Medium,No,14,Excellent,No
ACER,Notebook,17.3,"IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",4GB,"256GB SSD","Nvidia GeForce MX130",Windows,3kg,37402.56,1920,1080,NULL,No,"Full HD",Intel,i3,7130U,7,2.00,Mid,NVIDIA,Budget,4,256,0,0,0,256,3.00,Heavy,No,14,Excellent,No
DELL,Ultrabook,13.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"256GB SSD","Intel UHD Graphics 620",Windows,1.41kg,50562.72,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,Intel,Mid-Range,8,256,0,0,0,256,1.41,Medium,No,14,Excellent,No
HP,Notebook,15.6,1366x768,"AMD A6-Series A6-9220 2.5GHz",8GB,"128GB SSD","AMD Radeon R4 Graphics",Windows,1.91kg,23757.552,1366,768,NULL,No,HD,AMD,A6-Series,9220,NULL,2.00,Entry,AMD,Budget,8,128,0,0,0,128,1.91,Medium,No,14,Excellent,No
HP,Notebook,17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16GB,"1TB HDD","Nvidia GeForce MX150",Windows,2.9kg,56423.52,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,NVIDIA,Mid-Range,16,0,1024,0,0,1024,2.90,Heavy,No,14,Excellent,No
MSI,Gaming,17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16GB,"512GB SSD +  1TB HDD","Nvidia GeForce GTX 1070",Windows,4.14kg,133146.72,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Premium,16,512,1024,0,0,1536,4.14,Heavy,No,14,Excellent,No
LENOVO,"2 in 1 Convertible",15.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7700HQ 2.8GHz",8GB,"512GB SSD","Nvidia GeForce GTX 1050M",Windows,2kg,90522.72,1920,1080,NULL,Yes,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Premium,8,512,0,0,0,512,2.00,Medium,No,14,Excellent,No
DELL,Notebook,17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"128GB SSD +  1TB HDD","AMD Radeon 530",Windows,2.8kg,60845.759999999995,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,AMD,Mid-Range,8,128,1024,0,0,1152,2.80,Heavy,No,14,Excellent,No
LENOVO,Notebook,15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4GB,"256GB SSD","Intel HD Graphics 520","Not Specified",2.2kg,23656.32,1920,1080,NULL,No,"Full HD",Intel,i3,6006U,6,2.00,Mid,Intel,Budget,4,256,0,0,0,256,2.20,Heavy,No,14,Excellent,No
HP,Notebook,15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",4GB,"500GB HDD","Intel HD Graphics 620",Windows,2.1kg,38468.159999999996,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,Intel,Budget,4,0,500,0,0,500,2.10,Medium,No,14,Excellent,No
DELL,Notebook,15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4GB,"1TB HDD","Intel HD Graphics 620",Windows,2.18kg,35004.96,1920,1080,NULL,No,"Full HD",Intel,i5,7200U,7,2.00,Upper-Mid,Intel,Budget,4,0,1024,0,0,1024,2.18,Medium,No,14,Excellent,No
DELL,Notebook,15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8GB,"1TB HDD","AMD Radeon R5 M430",Windows,2.24kg,30103.199999999997,1920,1080,NULL,No,"Full HD",Intel,i5,7200U,7,2.00,Upper-Mid,AMD,Budget,8,0,1024,0,0,1024,2.24,Heavy,No,14,Excellent,No
